City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
306,lagoa,39.05,-27.9833,18.51,71.0,28.0,7.28,PT,1718656128.0
307,sidrolandia,-20.9319,-54.9614,30.59,26.0,26.0,4.38,BR,1718656128.0
308,ujae,8.9322,165.7642,28.58,79.0,33.0,7.31,MH,1718656128.0
309,kilju,40.9642,129.3278,18.73,63.0,4.0,1.88,KP,1718656128.0
310,saldanha,-33.0117,17.9442,15.03,86.0,92.0,3.98,ZA,1718656129.0
311,milford haven,51.7128,-5.0341,15.81,84.0,0.0,3.72,GB,1718656129.0
312,itoman,26.1247,127.6694,27.21,100.0,75.0,8.75,JP,1718656129.0
313,malabar,-33.9667,151.25,10.07,71.0,20.0,6.69,AU,1718656129.0
314,le vauclin,14.5452,-60.8388,33.03,58.0,40.0,3.09,MQ,1718656129.0
315,sukhodol,53.9006,51.2117,20.88,82.0,100.0,5.48,RU,1718656129.0
316,brezina,33.0989,1.2608,35.14,12.0,59.0,6.3,DZ,1718656129.0
317,san jose del guaviare,2.5729,-72.6459,25.58,93.0,88.0,0.28,CO,1718656130.0
318,blagoveshchenka,52.8333,79.8667,18.44,92.0,22.0,3.07,RU,1718656130.0
319,broken hill,-31.95,141.4333,9.52,46.0,100.0,2.46,AU,1718655852.0
320,elista,46.3078,44.2558,27.29,57.0,85.0,2.0,RU,1718656130.0
321,chela,34.069,104.4619,12.45,85.0,100.0,0.68,CN,1718656130.0
322,island harbour,50.724,-1.2758,17.02,76.0,100.0,0.89,GB,1718656130.0
